ID,Descr,CAPACIDAD,CAPACIDAD_CUARTO_CHECK,PRECIO_TOTAL_2_NOCHES,PRECIO_POR_PERSONA_2_NOCHES,PRECIO_POR_PERSONA_POR_NOCHE,OCUPACION,% OCUPACION,isPrivate,isBooked,isBookedXtra,isPaid,isPaidXtra
VILLA AZALEA,VILLA AZALEA -  12p,12,11,"$8,470",$706,$353,14,117%,FALSE,TRUE,FALSE,FALSE,FALSE
VILLA DALIA,VILLA DALIA -  10p,10,10,"$11,150","$1,115",$558,10,100%,FALSE,TRUE,FALSE,FALSE,FALSE
VILLA MARGARITA,VILLA MARGARITA -  10p,10,10,"$11,150","$1,115",$558,20,200%,FALSE,TRUE,FALSE,FALSE,FALSE
VILLA LAVANDA,VILLA LAVANDA -  4p,4,4,"$5,980","$1,495",$748,5,125%,FALSE,TRUE,FALSE,FALSE,FALSE
VILLA HORTENCIA,VILLA HORTENCIA -  2p,2,4,"$5,310","$2,655","$1,328",2,100%,TRUE,TRUE,FALSE,FALSE,FALSE
CABAÑA 1,CABAÑA MADERA - 2p,2,4,"$5,310","$2,655","$1,328",2,100%,TRUE,TRUE,FALSE,FALSE,FALSE
CABAÑA 2,CABAÑA MADERA - 2p,2,4,"$5,310","$2,655","$1,328",2,100%,TRUE,TRUE,FALSE,FALSE,FALSE
CABAÑA 3,CABAÑA MADERA - 2p,2,4,"$5,310","$2,655","$1,328",4,200%,TRUE,TRUE,FALSE,FALSE,FALSE
CABAÑA 4,CABAÑA MADERA - 2p,2,4,"$5,310","$2,655","$1,328",2,100%,TRUE,TRUE,FALSE,FALSE,FALSE
VILLA DON AGUSTIN,VILLA DON AGUSTIN -  4p,4,4,"$5,980","$1,495",$748,5,125%,TRUE,TRUE,FALSE,FALSE,FALSE
VILLA DON RAFA,VILLA DON RAFA -  6p,6,5,"$7,210","$1,202",$601,6,100%,TRUE,TRUE,FALSE,FALSE,FALSE
SUITE DON CARLOS,SUITE DON CARLOS -  8p,8,8,"$9,640","$1,205",$603,8,100%,FALSE,TRUE,FALSE,FALSE,FALSE
CASONA,CASONA -  18p,18,18,"$16,980",$943,$472,19,106%,FALSE,TRUE,TRUE,FALSE,FALSE
TOTAL,,82,90,"$103,110","$1,735",$868,,,0,0,0,0,0
