ID,CABIN,CUARTO ES,CUARTO FR,CUARTO EN,capacidad,ocupacion,isShared
CABAÑA 1-1,CABAÑA 1,CUARTO: 1 CAMA MATRIMONIAL,CHAMBRE : 1 LIT DOUBLE,BEDROOM: 1 DOUBLE BED,2,2,FALSE
CABAÑA 1-2,CABAÑA 1,SALA: 1 SOFA CAMA MATRIMONIAL,SALON : 1 CANAPÉ-LIT DOUBLE,LIVING ROOM: 1 DOUBLE SOFA BED,2,0,FALSE
CABAÑA 2-1,CABAÑA 2,CUARTO: 1 CAMA MATRIMONIAL,CHAMBRE : 1 LIT DOUBLE,BEDROOM: 1 DOUBLE BED,2,2,FALSE
CABAÑA 2-2,CABAÑA 2,SALA: 1 SOFA CAMA MATRIMONIAL,SALON : 1 CANAPÉ-LIT DOUBLE,LIVING ROOM: 1 DOUBLE SOFA BED,2,0,FALSE
CABAÑA 3-1,CABAÑA 3,CUARTO: 1 CAMA MATRIMONIAL,CHAMBRE : 1 LIT DOUBLE,BEDROOM: 1 DOUBLE BED,2,2,FALSE
CABAÑA 3-2,CABAÑA 3,SALA: 1 SOFA CAMA MATRIMONIAL,SALON : 1 CANAPÉ-LIT DOUBLE,LIVING ROOM: 1 DOUBLE SOFA BED,2,2,FALSE
CABAÑA 4-1,CABAÑA 4,CUARTO: 1 CAMA MATRIMONIAL,CHAMBRE : 1 LIT DOUBLE,BEDROOM: 1 DOUBLE BED,2,2,FALSE
CABAÑA 4-2,CABAÑA 4,SALA: 1 SOFA CAMA MATRIMONIAL,SALON : 1 CANAPÉ-LIT DOUBLE,LIVING ROOM: 1 DOUBLE SOFA BED,2,0,FALSE
CASONA-1,CASONA,CUARTO 1: 2 CAMAS MATRIMONIALES,CHAMBRE 1 : 2 LITS DOUBLES,BEDROOM 1: 2 DOUBLE BEDS,4,4,TRUE
CASONA-2,CASONA,CUARTO 2: 1 CAMA KING SIZE,CHAMBRE 2 : 1 LIT KING SIZE,BEDROOM 2: 1 KING-SIZE BED,1,3,FALSE
CASONA-3,CASONA,CUARTO 3: 2 CAMAS MATRIMONIALES Y 1 LITERA CON UNA CAMA MATRIMONIAL Y OTRA INDIVIDUAL,CHAMBRE 3 : 2 LITS DOUBLES ET 1 LIT SUPERPOSÉ (1 LIT DOUBLE + 1 LIT SIMPLE),BEDROOM 3: 2 DOUBLE BEDS AND 1 BUNK BED (1 DOUBLE BED + 1 SINGLE BED),7,7,TRUE
CASONA-4,CASONA,CUARTO 4: 1 CAMA MATRIMONIAL,CHAMBRE 4 : 1 LIT DOUBLE,BEDROOM 4: 1 DOUBLE BED,2,3,FALSE
CASONA-5,CASONA,CUARTO 5 : 1 CAMA MATRIMONIAL,CHAMBRE 5 : 1 LIT DOUBLE,BEDROOM 5: 1 DOUBLE BED,2,2,FALSE
CASONA-6,CASONA,SALA : 1 SOFA CAMA MATRIMONIAL,SALON : 1 CANAPÉ-LIT DOUBLE,LIVING ROOM: 1 DOUBLE SOFA BED,2,0,FALSE
SUITE DON CARLOS-1,SUITE DON CARLOS,CUARTO 1: 1 CAMA MATRIMONIAL,CHAMBRE 1 : 1 LIT DOUBLE,BEDROOM 1: 1 DOUBLE BED,2,2,FALSE
SUITE DON CARLOS-2,SUITE DON CARLOS,CUARTO 2: 1 CAMA MATRIMONIAL Y 1 LITERA INDIVIDUAL,CHAMBRE 2 : 1 LIT DOUBLE ET 1 LIT SUPERPOSÉ SIMPLE,BEDROOM 2: 1 DOUBLE BED AND 1 SINGLE BUNK BED,4,4,TRUE
SUITE DON CARLOS-3,SUITE DON CARLOS,CUARTO 3: 1 LITERA INDIVIDUAL,CHAMBRE 3 : 1 LIT SUPERPOSÉ SIMPLE,BEDROOM 3: 1 SINGLE BUNK BED,2,2,TRUE
VILLA AZALEA-1,VILLA AZALEA,CUARTO 1: 2 CAMAS MATRIMONIALES,CHAMBRE 1 : 2 LITS DOUBLES,BEDROOM 1: 2 DOUBLE BEDS,4,4,TRUE
VILLA AZALEA-2,VILLA AZALEA,CUARTO 2: 2 CAMAS MATRIMONIALES,CHAMBRE 2 : 2 LITS DOUBLES,BEDROOM 2: 2 DOUBLE BEDS,4,6,TRUE
VILLA AZALEA-3,VILLA AZALEA,CUARTO 3: 3 CAMAS INDIVIDUALES,CHAMBRE 3 : 3 LITS SIMPLES,BEDROOM 3: 3 SINGLE BEDS,3,4,TRUE
VILLA DALIA-1,VILLA DALIA,CUARTO 1: 2 CAMAS MATRIMONIALES,CHAMBRE 1 : 2 LITS DOUBLES,BEDROOM 1: 2 DOUBLE BEDS,4,4,TRUE
VILLA DALIA-2,VILLA DALIA,CUARTO 2: 4 CAMAS INDIVUDALES (LITERAS),CHAMBRE 2 : 4 LITS SIMPLES (LITS SUPERPOSÉS),BEDROOM 2: 4 SINGLE BEDS (BUNK BEDS),4,4,TRUE
