cabana_key,capacidad,interno_total_2_noches_mxn,interno_por_persona_2_noches_mxn,booking_est_nr_base_mxn,booking_est_nr_total_mxn,booking_nr_total_por_persona_mxn,booking_est_pr_base_mxn,booking_est_pr_total_mxn,booking_pr_total_por_persona_mxn,ahorro_vs_nr_total_mxn,ahorro_vs_pr_total_mxn,metodo
AZALEA - 12p,12,8470,706,10099,12218,1018,11612,14051,1171,3748,5581,estimado_ratio_cabana31
DALIA - 10p,10,11150,1115,13294,16085,1608,15287,18497,1850,4935,7347,estimado_ratio_cabana31
MARGARITA - 10p,10,11150,1115,13294,16085,1608,15287,18497,1850,4935,7347,estimado_ratio_cabana31
LAVANDA - 4p,4,5980,1495,7130,8627,2157,8199,9920,2480,2647,3940,estimado_ratio_cabana31
HORTENCIA - 2p,2,5310,2655,6331,7660,3830,7280,8809,4404,2350,3499,estimado_ratio_cabana31
CABAÑAS_MADERA_31_2_ADULTOS,2,5310,2655,6331,7660,3830,7280,8809,4404,2350,3499,estimado_ratio_cabana31
CABAÑAS_MADERA_32_2_ADULTOS,2,5310,2655,6331,7660,3830,7280,8809,4404,2350,3499,estimado_ratio_cabana31
CABAÑAS_MADERA_33_2_ADULTOS,2,5310,2655,6331,7660,3830,7280,8809,4404,2350,3499,estimado_ratio_cabana31
CABAÑAS_MADERA_34_2_ADULTOS,2,5310,2655,6331,7660,3830,7280,8809,4404,2350,3499,estimado_ratio_cabana31
CABAÑA_6 - 4p,4,5980,1495,7130,8627,2157,8199,9920,2480,2647,3940,estimado_ratio_cabana31
CABAÑA_5 - 6p,6,7210,1202,8596,10401,1734,9885,11961,1994,3191,4751,estimado_ratio_cabana31
CABAÑA_4 - 8p,8,9640,1205,11494,13906,1738,13216,15992,1999,4266,6352,estimado_ratio_cabana31
CASONA - 18p,18,16980,943,20245,24495,1361,23280,28169,1565,7515,11189,estimado_ratio_cabana31
