col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18
Que,TOTAL,Approx.,Montó,para,Column 14,Pagado el,Pagado por,David,Aydé,$ David,$ Aydé,D,A,Column 17,Column 18,Confirmados,Estimado
Total,"$364,980","$299,880","$65,100",,,,,,,"$35,170","$29,930","$59,700","$5,400","-$24,530","$24,530",,
Anillo de compromiso,"$5,240",,"$5,240",,,8/2/2026,David,100%,0%,"$5,240",$0,,,,,,
Aregolla #1,"$4,460",,"$4,460",,,9/2/2026,David,50%,50%,"$2,230","$2,230",,,,,,
Aregolla #2,"$5,400",,"$5,400",,,9/2/2026,Aydé,50%,50%,"$2,700","$2,700",,,,,,
Mobiliario,"$3,000","$3,000",,,,,,,,$0,$0,,,,,,
Toldo Arabe,"$4,500","$4,500",,,,,,,,$0,$0,,,,,82,
Bebidas,"$30,000","$30,000",,,,,,,,$0,$0,,,,,2,
Cena viernes,"$10,000","$10,000",,,,,,,,$0,$0,,,,,82,
Comida sábado,"$10,000","$10,000",,,,,,,,$0,$0,,,,,2,
Cena sábado,"$10,000","$10,000",,,,,,,,$0,$0,,,,,6,28
Comida domingo,$0,,,,,,,,,$0,$0,,,,,6,
Vestido Novia,"$5,000","$5,000",,,,,,,,$0,$0,,,,,11,
Traje Novio,"$5,000","$5,000",,,,,,,,$0,$0,,,,,14,
Flores,"$5,000","$5,000",,,,,,,,$0,$0,,,,,27,
Transporte Van GDL - Ajijic,"$3,000","$3,000",,,,,,,,$0,$0,,,,,9,
Juez Civil,"$1,500","$1,500",,,,,,,,$0,$0,,,,,5,
Musica en Vivo #1,"$5,000","$5,000",,,,,,,,$0,$0,,,,,5,
Musica en Vivo #2,"$10,000","$10,000",,,,,,,,$0,$0,,,,,5,
Roca Azul - Alojamiento 2 noches + 2 desayunos,"$103,110","$103,110",,58,"$1,778",,,,,$0,$0,,,,,82,120
Roca Azul - Espacio,"$24,570","$24,570",,42,$585,,,,,$0,$0,,,,,82,
Roca Azul - Espacio,"$70,200","$70,200",,120,$585,,,,,$0,$0,,,,,82,
Roca Azul - Adelanto,"$50,000",$0,"$50,000",,,27/6/2026,David,50%,50%,"$25,000","$25,000",,,,,82,
